CODIGO,poblacion_estudio,nbs,umbral,moderada,indigente,marginal,nbs_porcentaje,umbral_porcentaje,moderada_porcentaje,marginal_porcentaje,indigente_porcentaje,pobre,pobre_porcentaje,no_pobre,no_pobre_porcentaje,año,DEPARTAMENTO,PROVINCIA,MUNICIPIO
020201,45151,101,1699,16730,24417,2204,0.22369382737923854,3.762928838785409,37.053442891630304,4.881397975681602,54.07853646652344,43351,96.01337733383535,1800,3.9866226661646493,2001,LA PAZ,OMASUYOS,ACHACACHI
020202,13016,291,1207,7339,4059,120,2.23571,9.273202,56.38445,0.921942,31.184696,11518,88.49108789182544,1498,11.508912108174554,2012,LA PAZ,OMASUYOS,ANCORAIMES
020202,15079,47,194,4205,10010,623,0.3116917567477949,1.2865574640228132,27.886464619669738,4.1315737117846005,66.38371244777505,14838,98.40175077922939,241,1.5982492207706116,2001,LA PAZ,OMASUYOS,ANCORAIMES
020203,5244,17,430,3129,1666,2,0.32418001525553014,8.199847444698703,59.66819221967964,0.03813882532418002,31.76964149504195,4797,91.47597254004577,447,8.524027459954226,2001,LA PAZ,OMASUYOS,CHUA COCANI
020203,4811,390,1243,2459,689,30,8.106423,25.836624,51.112035,0.623571,14.321347,3178,66.05695281646227,1633,33.94304718353773,2012,LA PAZ,OMASUYOS,CHUA COCANI
020204,8238,82,757,4102,3218,79,0.9953872299101724,9.189123573682933,49.7936392328235,0.9589706239378489,39.06287933964555,7399,89.8154891964069,839,10.1845108035931,2001,LA PAZ,OMASUYOS,HUARINA
020204,7858,542,1596,4310,1367,43,6.897429,20.310512,54.848562,0.547213,17.396284,5720,72.79205904810384,2138,27.20794095189616,2012,LA PAZ,OMASUYOS,HUARINA
020205,8415,826,1743,4481,1334,31,9.815805,20.713012,53.250149,0.36839,15.852644,5846,69.47118241235889,2569,30.528817587641115,2012,LA PAZ,OMASUYOS,SANTIAGO DE HUATA
020205,7589,68,304,3461,3624,132,0.8960337330346555,4.005797865331401,45.605481618131506,1.7393595994202136,47.753327184082224,7217,95.09816840163394,372,4.9018315983660585,2001,LA PAZ,OMASUYOS,SANTIAGO DE HUATA
020206,3838,1210,1493,993,141,1,31.526837,38.900469,25.87285,0.026055,3.673788,1135,29.572694111516412,2703,70.42730588848359,2012,LA PAZ,OMASUYOS,HUATAJATA
020206,2746,180,1014,1370,182,0,6.5549890750182085,36.92643845593591,49.89075018208303,0,6.6278222869628545,1552,56.51857246904588,1194,43.48142753095412,2001,LA PAZ,OMASUYOS,HUATAJATA
020301,11425,209,973,4166,5817,260,1.8293216630196938,8.5164113785558,36.46389496717724,2.2757111597374178,50.91466083150985,10243,89.65426695842451,1182,10.345733041575485,2001,LA PAZ,PACAJES,COROCORO
020301,10242,850,1146,4691,3435,120,8.29916,11.189221,45.801601,1.171646,33.538371,8246,80.51161882444835,1996,19.488381175551652,2012,LA PAZ,PACAJES,COROCORO
